================================================================================
EMMTECH Closed Tickets Containing Code Snippets
Total unique tickets: 1092
Generated from Jira sdsdev site (devops.sdsdev.co.kr)
================================================================================

Search categories used:
  import, function, Exception, patch, dumpstate, adb, logcat,
  NullPointerException, commit, public class, git, diff, stacktrace

--------------------------------------------------------------------------------
Ticket Key           Categories                                         Summary
EMMTECH-2100         Exception                                          [00258901] Adullam / KM // AD sync
EMMTECH-2106         function                                           [00258737] Knox Manage Tenant ID changed to smaract.com.smaract.com
EMMTECH-2111         Exception, dumpstate                               [00258822] Content In Documents Folder Path Is Being Auto Deleted Randomly
EMMTECH-2113         import                                             [Trant Engineering Ltd][00258991] KM LDAP Sync question
EMMTECH-2114         Exception                                          [00257523] GLS_Internal app doesn't install until Knox Manage agent is manually launched on enrolled devices
EMMTECH-2140         adb, logcat, patch                                 [Customer][00258664] Kiosk - Settings app opening error
EMMTECH-2141         function                                           [Customer][00258749] License seats don't match after performing unenroll
EMMTECH-2150         Exception                                          [00259643] Valid IPs for deploy azure AD app
EMMTECH-2160         NullPointerException, dumpstate                    [00259202] Dysfonctionnements sur Tab A2016
EMMTECH-2162         Exception                                          [Cor Oskam][00259110]In House app installation fails when enrolling
EMMTECH-2163         Exception                                           [Stumbea Mihai][00259657]LDAP Sync error, can't enroll users
EMMTECH-2166         dumpstate                                          [00259633] Samsung Tablet Spinning
EMMTECH-2182         function                                           [00260255] Knox Manage Issues
EMMTECH-2190         adb                                                [Customer][00258242]Application installation issue
EMMTECH-2204         function                                           [Ntt Data Spain Infrastructures] [00259987] Problems with register of devices related to Azure
EMMTECH-2206         dumpstate, function                                [00259531] Permission Appear on Top, Storage
EMMTECH-2217         Exception                                          [00260807] Postgres SQL server error in Buld add users
EMMTECH-2224         Exception, dumpstate                               [ABOX][00260241] RSA - 5003 Cannot connect to server
EMMTECH-2231         patch                                              [00260201]Android 13 TAB A8 and Knox Manage in Kiosk Mode - Cannot unlock lock screen and show kiosk app
EMMTECH-2249         import                                             [00261199] API connection not working or invalid for creating authentication token
EMMTECH-2255         patch                                              [00260329] Issue with application distributed as MGP Private Web in Kiosk
EMMTECH-2260         function                                           [ETS][Remy Beulink][00261446] Information about Knox remote support
EMMTECH-2262         Exception                                          [00257267] Certificate issue on R OS
EMMTECH-2264         patch                                              [00261704] License replacement issue 
EMMTECH-2280         adb, commit, dumpstate                             [00261382] [ETS] No apps installed
EMMTECH-2287         patch                                              [00262215] KMA D9001 Error
EMMTECH-2291         adb, logcat                                        [00259621] App auto update is no longer automatic
EMMTECH-2293         Exception, function                                [00261857] KNOX REMOTE SUPPORT NO LONGER FUNCTIONING
EMMTECH-2295         function                                           [Howdens Joinery] [00261663] Device Command Send from Group Level
EMMTECH-2306         function, patch                                    [00262575] Search Engine Error
EMMTECH-2313         function                                           [Customer][00261276] Remote support - disabled button
EMMTECH-2316         adb, logcat                                        [Joel Lopez][00262299] Application Updates Failing
EMMTECH-2321         import                                             [iOS][00262739] iPad knox enrollment issue
EMMTECH-2331         Exception, adb, patch                              [00262582] app not working when used in kiosk mode
EMMTECH-2336         Exception, patch                                   [marina charnet][00262910] Cannot display PDFs from a web page
EMMTECH-2349         Exception, adb                                     [ETS][00263257] Kiosk app blocked by KM policy
EMMTECH-2357         function                                           [iOS][00262418] Manage on Ipad - Landscape view not functioning
EMMTECH-2390         dumpstate                                          [00263703] Application is crashing on the devices - MS Planner
EMMTECH-2393         Exception, function                                [00263308] BT Group_Cannot share pdf from Adobe Reader due to apparent admin policy
EMMTECH-2399         dumpstate                                          [blaud knox][00263382] Knox Service plugin policies in Knox Manage don't update
EMMTECH-2420         dumpstate, function                                [00257248] Kiosk settings open slow
EMMTECH-2424         function                                           [00264094][ETS][Legacy] Internal app not updating
EMMTECH-2426         function                                           [00263850] The web mode kiosk is restarted
EMMTECH-2433         Exception, NullPointerException, patch             [Customer][00264544] Kiosk app is crashing
EMMTECH-2434         function                                           [Westdeutsche Lotterie GmbH & Co. OHG][00264211] Smart view is not showing on Kiosk
EMMTECH-2440         function                                           [Customer][00263490] Azure AD sync users is requiring PW
EMMTECH-2441         Exception, adb                                     [00260036] issue with external devices and Kiosk
EMMTECH-2448         dumpstate                                          [Customer][00264368] Google Lens doesn't work on Kiosk mode
EMMTECH-2460         Exception                                          [Customer][00262002] LDAP SYNC HAS FAILED
EMMTECH-2469         function                                           [00264329] Installing CA certificate inside the Work Profile
EMMTECH-2472         dumpstate                                          [Non-Samsung][00264526] How to close crashed applications in Kiosk Mode
EMMTECH-2478         dumpstate                                          [Bpi direct banko Inc][00258838] Unable to open Loan Collector App (Isolated Case)
EMMTECH-2495         Exception, function                                [Customer][00265294]MGP Account not registered
EMMTECH-2506         function                                           [00265788] Knox Manage - Google Account filtering inquiry
EMMTECH-2510         function                                           [Email] 경찰청 can't update contact to watch device.
EMMTECH-2514         Exception                                          [customer][00265783] AD Azure sync
EMMTECH-2516         function, public class                             [00265627] Internal app permissions
EMMTECH-2523         dumpstate, function                                [00265404] External biometric device does not recognize in Kisok mode
EMMTECH-2546         patch                                              [00266083] [ETS] Xylem - issue with call blocking in KM
EMMTECH-2550         adb, logcat                                        [00266003] Pause app activity if unused
EMMTECH-2553         function                                           [ETS][00266348] The camera application triggers location accuracy to be active
EMMTECH-2554         function                                           [ETS][Customer][00266334] Apps not found in Managed Google Play
EMMTECH-2563         patch                                              [00266894] Cloud Connector Vulnerability
EMMTECH-2580         adb, function                                      [Customer][00266747]Knox Manage./WearOS- Application not running on Watch 4/5 device
EMMTECH-2582         Exception                                          [Customer][00267269] com.bell.ptt crashing on Kiosk mode
EMMTECH-2587         patch                                              [ETS][00267338] Unable to download the devices list
EMMTECH-2589         dumpstate                                          [00266954] Phones going into Airplane Mode
EMMTECH-2607         Exception                                          [00266706] Contacts and app permissions
EMMTECH-2618         dumpstate, function                                [00266656] Device restart
EMMTECH-2619         dumpstate                                          [00267728] The device gets rebooted into Safe Mode
EMMTECH-2620         dumpstate                                          [Customer][00266342] Never auto update settings
EMMTECH-2629         adb, logcat                                        [00268244] App Automatic Update not working
EMMTECH-2632         dumpstate, function                                [00268164] BizApp on Knox Manage
EMMTECH-2633         import                                             [Customer][00267748]Azure AD Can't enroll
EMMTECH-2635         Exception, dumpstate                               [BW Offshore Singapore] [00265374] Failed to install assgined application
EMMTECH-2645         function                                           [Fabryka Bezpieczeństwa][00264970] KnoxManage Android 9/FullyManaged file write problem
EMMTECH-2651         Exception, adb                                     [00268309] limited number of active users in a shared device
EMMTECH-2655         dumpstate                                          [00267685] Phone Contacts and "Sync"
EMMTECH-2656         function                                           [UAT][00268369]Access to Remote Support App for UAT 23.06
EMMTECH-2658         Exception                                          [iOS][00266515] Unable to unenroll multiple iOS devices under Knox Manage
EMMTECH-2662         import                                             [Customer][00268676] How to import and update an URL blocklist
EMMTECH-2664         dumpstate, function                                [Vector Ronda][00268761]Event Profile for SIM Change event is not working properly
EMMTECH-2669         patch                                              [ETS][customer][00268881] Create Google account option disappeared
EMMTECH-2671         function                                           [00268869] IP information when 'Export to CSV' 
EMMTECH-2673         Exception                                          [00268226] Issue with Group Sync- license
EMMTECH-2678         dumpstate                                          [Customer][ETS][00268804]Brilliant KM - Device not enrolled properly
EMMTECH-2681         Exception                                          [Customer][00268119] ad sync user error
EMMTECH-2688         function                                           [00269144] Private DNS
EMMTECH-2709         patch                                              [00269285, 00269314, 00269315] RS app thrown error after v23.06 release
EMMTECH-2712         dumpstate                                          [Jon Vicente][00269179] Apps are uninstalled from Personal Space
EMMTECH-2715         dumpstate                                          [00267799] Blank screen on Remote Supoprt
EMMTECH-2720         dumpstate, function                                [ETS] [00269207] Maximum falied sign-in attempts not working
EMMTECH-2722         patch                                              [00269722] KM Wear OS Stuck command
EMMTECH-2724         patch                                              [iOS][00269773] iOS devices not installing apps after enrollment
EMMTECH-2732         commit, function, git, patch                       [00269988] June SMR - WiFi profiles with EAP-TLS plus NDES for cert enrollment are not installing on devices with Knox manage
EMMTECH-2736         dumpstate                                          [YellowFox GmbH][00269692] Remote Support App is not Auto installing After updated to Latest version
EMMTECH-2761         dumpstate                                          [Customer][00269383] Reset lock device password command failure
EMMTECH-2783         dumpstate, function, patch                         [ETS][Customer][00270684] Wifi settings via KM profile is failing
EMMTECH-2787         patch                                              [iOS][00270887] "Profile not applied" for ipads
EMMTECH-2788         function                                           [Základní škola Gajdošova][00271130] Missing input field for input license key in KSP
EMMTECH-2789         function                                           [00270932] Offline Unenrollment Code & Exit Kiosk Code going back to January,20th,2021.
EMMTECH-2808         dumpstate, function                                [Customer][00271212] screen brightness setting
EMMTECH-2826         function, import                                   [Customer][00270696] Password special characters for user bulk import
EMMTECH-2829         patch                                              [ETS][00271614] Vulnerability - Requesting CPE Details for Knox Manage and other Knox solutions.
EMMTECH-2831         Exception                                          [ETS][Customer][00271304] Permitted and prohibited internet URL through Knox Manage
EMMTECH-2834         patch                                              [Customer][00270604] Remote Support is not working
EMMTECH-2837         dumpstate                                          [Customer][00271595] Cannot add MGP account
EMMTECH-2844         function                                           [Customer][00271348] Bookmark Can't create a shortcut for a website.
EMMTECH-2854         dumpstate                                          [00271826] Installing internal app into Work profile of COPE device fails
EMMTECH-2869         Exception, function                                [customer][00271598] App does not give notifications
EMMTECH-2872         function                                           [Non-Samsung] [00271976] Deployment of Samsung Knox on Xiaomi Phone
EMMTECH-2873         patch                                              [Customer ][00271651] KMA_D9001 when installing the wi-fi profile
EMMTECH-2875         dumpstate                                          [Customer][00271559] Gmail app not syncing on KM devices
EMMTECH-2876         dumpstate, function, patch                         [00272187][Haryana] KME-KM enrollment not happending in device
EMMTECH-2881         dumpstate                                          [00271766] Location Tracking issue In Internal application
EMMTECH-2889         dumpstate                                          [Customer][00270849] GPS not tracking
EMMTECH-2891         function                                           [00272399] Tenant removal request
EMMTECH-2895         function                                           [Adendo GmbH][00272065]Forced Execution of KRS is not working
EMMTECH-2917         dumpstate                                          [Xylem Learning][00272797] Able to exit Kiosk in KM
EMMTECH-2927         dumpstate                                          [Customer][00271589] Apps don't install on some wear devices
EMMTECH-2939         function                                           Internal Question
EMMTECH-2946         dumpstate                                          [Customer][00272536] Tablet restart problem
EMMTECH-2949         patch                                              [Internal] Unable to enroll ZFlip 5 devices - KMA_C1015
EMMTECH-2957         Exception                                          [Közlekedéstudományi ] [00273030] KAVK duplicated registration, KM tenant deletion
EMMTECH-2985         dumpstate                                          [Urgent][Customer][00273939]Error KMA_F5004 - License Activation failed , Unable to enroll the device
EMMTECH-2987         patch                                              [ETS][Customer][00273935] KMA_C1015 error after software update
EMMTECH-2997         dumpstate                                          [00274158] WearOS Key remapping not working
EMMTECH-3022         Exception                                          [00274307] KMA_D9001 WLAN Settings not pushing to device
EMMTECH-3045         dumpstate                                          00275028 - [KM]Internal application not installed in the work profile
EMMTECH-3052         dumpstate                                          [Customer][00274886]no Home button or back button
EMMTECH-3058         patch                                              [Customer][00274863] Kiosk Mode does not work on Android 13
EMMTECH-3068         dumpstate                                          [00274571] Работоспособность приложения SoftPos в режиме Kiosk
EMMTECH-3077         dumpstate                                          [00274222] Cant use home button on Tablet
EMMTECH-3084         function                                           [Customer][00275988] Complaint after KM sub admin changes (Group/Org)
EMMTECH-3092         function                                           [00276107][ETS] Service Admins unable to unenroll devices, error message 'access denied'.
EMMTECH-3094         patch                                              [Internal] Behavior of see history menu in license details
EMMTECH-3100         dumpstate                                          [Customer][00270496] Account persists in Samsung E-Mail as internal app
EMMTECH-3123         Exception, patch                                   [00276488] [ETS] Zonar Systems  KM EMM API | Error 500 when attempting to retrieve a log
EMMTECH-3124         dumpstate                                          [Customer][00274588] App doesn't uninstall
EMMTECH-3142         dumpstate                                          [Customer][00275613]Cannot download app onto devices
EMMTECH-3148         dumpstate                                          [Customer][00276870] Issue after update of app
EMMTECH-3149         import, patch                                      [ETS][00276954] Unable to add the KoamTacON MGP app to KM console
EMMTECH-3156         function                                           [Customer][00276815] Issue with Edge panel and Kiosk
EMMTECH-3157         Exception, patch                                   [00276399] Unable to add a MGP account
EMMTECH-3181         dumpstate, patch                                   [Customer][00277381] KMA-D9001 error
EMMTECH-3191         function                                           [Customer][00277778]VPN Always ON
EMMTECH-3216         Exception, patch                                   [00278167] Error message : exception encountered during decryption knox manage
EMMTECH-3218         Exception                                          [00278306] [ETS] how to change the 'Set time zone based on location' in Knox Manage.
EMMTECH-3220         patch                                              [Urgent][Customer][00278494] Error KMA_D9001
EMMTECH-3233         patch                                              [Customer][00277909]  The error "Security policy prevents turning on device administrators"
EMMTECH-3234         dumpstate                                          [Customer][00276928] Single app mode the application si not launched automatically
EMMTECH-3236         Exception                                          [customer][00276588] Issue with app + KM
EMMTECH-3246         dumpstate                                          [00278857] Shared device issue / domain user enrolment
EMMTECH-3256         Exception                                          [00278835] Get serial number on 3rd party app
EMMTECH-3265         Exception                                          [00278742][Korean Air] The PDF file doesn't open on KM Agent
EMMTECH-3268         Exception                                          [ETS][PT Sinergi Wahana Gemilang][00279363]  Device fails to update license command
EMMTECH-3272         function                                           [00278219] Location history issue
EMMTECH-3273         dumpstate                                          [00276272] Profiles are not applied correttly to the device.
EMMTECH-3277         dumpstate                                          [Customer][00278474] License Activation Failed
EMMTECH-3297         dumpstate                                          [00278800] Chrome Webpage issues
EMMTECH-3315         dumpstate, import                                  [Customer][00279035][ETS]Home and recents button disappear after restart
EMMTECH-3322         dumpstate, function                                [00280267] AJINOMOTO : [KM] Web App does not install automatically
EMMTECH-3345         patch                                              [Internal Question] mainline Update
EMMTECH-3353         dumpstate                                          [00280379] WiFi profile with certficates issue - cannot be installed on the device
EMMTECH-3417         adb, dumpstate                                     [Customer][00279568] Starting Android or Phone is starting loop
EMMTECH-3423         adb, logcat                                        [EES-CLEMESSY][00281442] factory Reset command not deleting data
EMMTECH-3449         NullPointerException, patch                        [Customer][00282185]Unable to connect using Knox Remote Support
EMMTECH-3455         dumpstate                                          [customer][00281427] Register phone number
EMMTECH-3456         patch                                              [00282186]Configuring a device, selecting user shows no data
EMMTECH-3458         patch                                              [00282327] Error on expired license key
EMMTECH-3459         dumpstate, function                                [00281875] KM doesn't update its license "Expired" status on some connected devices
EMMTECH-3460         Exception                                          [Email] Failure (1901193) - Exception Error. when updating license
EMMTECH-3464         patch                                              [Internal] KM enorllment is not working and KM thrown ANR after reboot
EMMTECH-3467         function                                           [00281810] Admins cannot change support account password
EMMTECH-3470         dumpstate, patch                                   [00282583] Provisioning the phone is asking for password instead of auto-signing
EMMTECH-3479         patch                                              [Customer][00282426]Phones locked on the Knox Manage connection screen
EMMTECH-3481         function                                           [Customer][00282691] Device stuck with KRS license
EMMTECH-3490         dumpstate, patch                                   [00281488] Watches Won't Take App Update
EMMTECH-3495         dumpstate                                          [00282200] Bug: EAP-TLS config force a screen lock
EMMTECH-3497         dumpstate, function                                [00282841][ETS] App non installing or updating
EMMTECH-3505         dumpstate                                          [00280839] Power ON and Power OFF policy is not applied to the device witha profile
EMMTECH-3513         dumpstate                                          [customer][00281567] Custom certificates are not installed
EMMTECH-3518         patch                                              [00283007] About the "Sound mode / Volume adjustment" setting on Wear OS
EMMTECH-3526         patch                                              [00283602] Group sync not working correctly
EMMTECH-3530         Exception                                          [00282834] Knox Remote Support Quality
EMMTECH-3537         Exception                                          [Internal] Queries regarding Last seen,Command History in KM
EMMTECH-3540         Exception, import                                  [00283716] [ETS] Consult KM connectivity network map
EMMTECH-3544         patch                                              [00283215] Azure AD Sync Hung
EMMTECH-3551         function                                           [00283838] cannot enroll device to knox manage
EMMTECH-3559         Exception, dumpstate                               [Customer][00283704] App not working-in Kiosk mode
EMMTECH-3567         dumpstate                                          [00284061] Knox Firewall Not working
EMMTECH-3569         function                                           [Customer][00283913] Location tracking inaccurate
EMMTECH-3577         dumpstate                                          [Customer][00283008] Error 51010: An error occurred with setWallPaper
EMMTECH-3579         dumpstate                                          [00282606] Kiosk: Phone & SMS: Alert "Permissions are required to display badges for the app"
EMMTECH-3581         dumpstate                                          [ETS][00283662] Azure AD (Graph API) enrollment with issues - WPCOD and Work Profile
EMMTECH-3583         Exception, adb, patch                              [00283537] App Uninstall Issue
EMMTECH-3589         Exception                                          [00284113] Location settings Knox manage and Android
EMMTECH-3595         import                                             [customer][00283926] 23.12 update MFA not working
EMMTECH-3604         Exception                                          [00284066] Apps not Auto-Updating on Device post 23.12 update
EMMTECH-3608         function                                           [iOS] [00284594] iOS Devices are disconnecting
EMMTECH-3613         dumpstate                                          [Customer][00281813]Not able to use call forwarding
EMMTECH-3614         import, patch                                      [00284394] Issue to sync users automatically with Azure AD
EMMTECH-3625         Exception                                          [00282490] APN configuration via KSP probleme
EMMTECH-3634         dumpstate                                          [00284581] error KMA_D9001 - Android Enterprise Wi-Fi enrollment with 802.1xEAP fails
EMMTECH-3645         function, import                                   [Customer][00285125] Unable to install certificate on device - KMA_D9005 error
EMMTECH-3646         function                                           [Customer][00285095] Behavior of system updates
EMMTECH-3648         Exception                                          [Internal] KM + KAI integration
EMMTECH-3654         function, patch                                    [Customer][00283411]Settings of "double support"
EMMTECH-3656         dumpstate                                          [00285379] [ETS] Camera not availble
EMMTECH-3657         dumpstate, patch                                   [00285482] [ETS] Sapir_Camera app suddenly doesn't work anymore
EMMTECH-3660         dumpstate                                          [Customer][00285598]Unable to update license in the device
EMMTECH-3677         dumpstate                                          [Non-Samsung] [00284854] Sim card connexion
EMMTECH-3694         dumpstate                                          [00284117] Unable to remove eSIM
EMMTECH-3699         Exception, function                                [Customer][00285905]Internal app update failure on Android 14
EMMTECH-3700         dumpstate                                          [customer][00286018]Knox Manage - Exit Kiosk Code Missing
EMMTECH-3707         patch                                              [Customer][ETS][00284614] Blocking an app component using profile
EMMTECH-3710         patch                                              [Customer][00286071] Kiosk pages don't appear on Portuguese and Spanish console
EMMTECH-3711         function                                           [00286091][ETS] Knox Manage "Command History" function
EMMTECH-3712         Exception, dumpstate                               [00286052] APN Configuration Not Being Installed
EMMTECH-3752         Exception                                          [00286613] Cannot change device license from KLM12 to KLM09
EMMTECH-3763         function                                           [00286820] Kiosk Screen Lock Issue
EMMTECH-3772         dumpstate                                          [Customer][00286584]Unable to install Microsoft One Note app
EMMTECH-3776         function                                           [00287173] Deploying Web Progressive Applications
EMMTECH-3785         dumpstate                                          [Internal][WearOS] Key Remapping // WearOS System Apps
EMMTECH-3800         dumpstate                                          [Customer] [00286381] Installation of APK with internal store
EMMTECH-3807         dumpstate, function                                [00287270] [ETS] Attempted app removal
EMMTECH-3820         function                                           [00287327] Tag i Knox Manage for EE devices.
EMMTECH-3821         dumpstate                                          [00286183] Log in using Google account on the already installed application
EMMTECH-3824         function, patch                                    [customer][00286543]Android enrollment not possible. Error code: KMA_F4014
EMMTECH-3834         dumpstate                                          [00287806] MGP App "F5 Access" not applying managed configuration
EMMTECH-3838         dumpstate                                          [Customer][00287660]Activate NFC Payments
EMMTECH-3840         Exception, dumpstate                               [00287861] Server cannot comunicate with device's agents behind proxy
EMMTECH-3846         patch                                              [Customer][00287933]Camera not working after unlocking the device
EMMTECH-3867         dumpstate, function                                [00287657] Live Translate/Call Assist not Working on S24 RDU Devices after KM Policy push
EMMTECH-3868         function                                           [Customer][00288478]Synchro On-premise AD
EMMTECH-3871         function                                           [Customer][00288576] Unable to take photos in Application Clobotics
EMMTECH-3872         Exception                                          [Fredrik & Louisa AS][00288589] KM Portal Redirecting to Dashboard Page
EMMTECH-3876         dumpstate                                          [00287542] Geofencing isn't working as expected using Knox Manage
EMMTECH-3890         Exception                                          [customer][00288884]Knox manage not responding message
EMMTECH-3908         dumpstate                                          [Customer][00288651]KM Unable to use Camera
EMMTECH-3912         dumpstate                                          [ETS][00288056] Knox Remote Tool
EMMTECH-3917         Exception                                          [00286119] MBH Bank Firewall Exceptions
EMMTECH-3918         dumpstate                                          [00287895] Automatic application launch problem
EMMTECH-3928         dumpstate                                          [Non-Samsung] [00289301] Problem with Motorola
EMMTECH-3931         function                                           [00289003] Knox Manage - error message
EMMTECH-3945         Exception, patch                                   [Customer][00289574] SCC connection timeout
EMMTECH-3966         Exception                                          [Customer][00289092]Firewall  blocks communication between SamsungKnox
EMMTECH-3969         dumpstate                                          [UAT] Wear OS policy additions
EMMTECH-3976         Exception, dumpstate                               [Customer][00289835]Configuration APN
EMMTECH-4001         adb, function, patch                               [00290503] Kiosk won't install.
EMMTECH-4016         dumpstate, function                                [00290829] Cannot enroll any mobile phone anymore
EMMTECH-4020         dumpstate                                          [SELF TEST] Kiosk Notification and systme bar error
EMMTECH-4022         patch                                              [Customer][00290978]Descending Kiosk
EMMTECH-4030         dumpstate                                          [Customer][00288921] WearOS - Unable to setup an eSIM mobile plan in France
EMMTECH-4036         Exception, function                                [Customer][00291130] Add the Google Chrome app to the App Permission-Issue with runtime permission
EMMTECH-4046         dumpstate, function                                [Customer][00291271] Fall detection policy doesn't apply to Watch 6
EMMTECH-4063         function                                           [00291140] 2024-04 KM // fall detection is not triggered
EMMTECH-4064         patch                                              [00291975] Kiosk not installing
EMMTECH-4075         patch                                              [Urgent][Customer][00291218]Exit kiosk is not visible
EMMTECH-4089         function, import                                   [Customer][00292330]Device alias
EMMTECH-4109         patch                                              [Customer][00292349] Kiosk Mode - App Install Blocked
EMMTECH-4116         dumpstate                                          [Customer][00292351]APN installation error KMA_D9001.
EMMTECH-4119         Exception                                          [00290968][B2B/T630N/SKBS] KM USB host storage (OTG) policy does not applied
EMMTECH-4131         function                                           [00292695] Point d'accès Wifi
EMMTECH-4132         dumpstate                                          [00288896] Failure (1901035) - EMM Agent error occurred [DownloadStatusPending]
EMMTECH-4137         function                                           [00292820] profile>policy>phone>mic/recording concept
EMMTECH-4141         dumpstate                                          [00292145] User can leave kiosk and factory reset the device
EMMTECH-4171         import                                             [ETS][00292552] could not find the user
EMMTECH-4172         Exception                                          [00293444] Device Can't Manage - Intranet
EMMTECH-4174         dumpstate                                          [Customer][00292600]KNOX Remote Support - Black screen & Ethernet issue
EMMTECH-4185         Exception, NullPointerException                    [00287897] Devices Unreachable/Disconnected in Knox Manage despite being connected
EMMTECH-4186         Exception, dumpstate                               [ETS][Customer][00292872]Incorrect lock screen behavior in Kiosk mode
EMMTECH-4188         function                                           [00293739] Bulk change for Group and Org.
EMMTECH-4189         Exception, dumpstate, function                     [Customer][00293503]Unable to access Settings in Kiosk mode.
EMMTECH-4195         function                                           [00292805] KM WearOS policy is not applied
EMMTECH-4196         function                                           [Customer][00291463] Need to remove a device admin app
EMMTECH-4200         Exception                                          [Customer][00293851]Knox Remote Support error
EMMTECH-4201         Exception                                          [00293529] SmartThings
EMMTECH-4202         patch                                              [00293980] Haryana Education - Unable to download device details report list
EMMTECH-4205         function                                           [iOS][00294032] Revisar perguntas do MDM
EMMTECH-4207         dumpstate                                          [Customer][00293490]Issue with background app with Kiosk
EMMTECH-4212         dumpstate                                          [00293848] [ETS] Gmail app x Knox Manage Issue
EMMTECH-4213         Exception, dumpstate                               [Customer][00294022]Applications Not Working with Location
EMMTECH-4218         dumpstate                                          [00293346] WearOS device loses mobile network connection when kiosk is applied
EMMTECH-4227         dumpstate                                          [Customer][00294087]Voice input in Samsung Keyboard not available in recent One UI 6.1 update
EMMTECH-4235         Exception, dumpstate                               [ETS customer][00289572] App permission issue.
EMMTECH-4244         dumpstate                                          [00293434] Error a la hora de instalar una aplicación interna en los dispositivos
EMMTECH-4250         Exception                                          [PHC Telecom (G)] [00294100] Tenant ID delete
EMMTECH-4263         patch                                              [00294479] [Howdens Joinery] Unable to export to Excel
EMMTECH-4265         function                                           [Customer][00291958] App appareil photo
EMMTECH-4266         Exception, dumpstate                               [00292070] Serious Software issue detected
EMMTECH-4271         function                                           [Non-Samsung][00292762] ERROR EN APLICACION KNOX
EMMTECH-4273         Exception                                          [Customer][00294863]Disable location notifications
EMMTECH-4282         patch                                              [00289695] Pulse Secure (Ivanti Secure Access Client) app issue
EMMTECH-4288         Exception                                          [Customer][00295145]Whats App is not installing in workspace
EMMTECH-4294         dumpstate                                          [00295294] Gerät Orten
EMMTECH-4295         Exception, function                                [ETS][00294891] User Certificate fails to install
EMMTECH-4302         function, patch                                    [Customer][00294586]NFC issue
EMMTECH-4309         function                                           [Customer][00292862] Chrome password manager
EMMTECH-4313         dumpstate, function                                [Customer][00294181]Galaxy A05(SM-A055F) Profile Policy & Chrome Policy was not working
EMMTECH-4314         function                                           [iOS] [00295433] iOS - "Last seen" not updating even though device active
EMMTECH-4316         dumpstate                                          [customer][00294565] WiFi automatically deactivates on the device
EMMTECH-4351         adb, dumpstate                                     [00296005] Problemas actualizando aplicacion interna en wear os knox manage
EMMTECH-4363         function                                           [Windows] [00296550] AUMID Edge e Kiosk Browser
EMMTECH-4364         dumpstate                                          [Customer][00295288] "the knox security policy prevents this option"
EMMTECH-4366         dumpstate                                          [UAT] Exit Staging Mode Attempt Limit and Take Action if Attempts Are Exceeded policies don't work
EMMTECH-4377         import                                             [Customer][00296380] Can't modify LDAP users mapping
EMMTECH-4383         dumpstate, function                                [00296803]  Case Removing Device Admin App
EMMTECH-4392         import                                             [Customer][00296730] Stuck in Bootloop after Restart
EMMTECH-4406         function                                           [customer][00297160] Kiosk - Notification - Bug
EMMTECH-4412         dumpstate                                          [ETS][Customer][00296103]  KM enrollment keeps asking username and password (only happen to A15 serries)
EMMTECH-4418         patch                                              [Customer][00297456]Sub-Admin unable to access Knox Remote Support
EMMTECH-4434         dumpstate                                          [00296855] Knox Manage WiFi Configuration Issue on Wear OS Devices
EMMTECH-4444         Exception, NullPointerException                    [Customer][00297720]Unable to attach Image and Signature from the app
EMMTECH-4446         import                                             [ETS][00298080] Users sync error. More than 30k of all users
EMMTECH-4447         dumpstate, patch                                   [ETS][00298217/00298315] Devices are falsely reporting OS compromised
EMMTECH-4449         function                                           [Customer][00297616] No notifications after a change of a profile policy
EMMTECH-4456         dumpstate                                          [customer][00297743] Kiosk - Geofencing event profile - Kiosk is delated
EMMTECH-4461         dumpstate                                          [00296118] Problem with fall detection in wear os
EMMTECH-4472         dumpstate                                          [Customer][00298468]Applications do not install automatically
EMMTECH-4473         patch                                              [00298342/00298199] EFOTA Connection with KM keeps disconnecting
EMMTECH-4478         dumpstate                                          [00297621] [ETS] Goglio_Device loses MGP account in WPCOD
EMMTECH-4481         Exception, dumpstate                               [00298617] Échec de mise à jour de l'application (APK maison) MaMatmut via Knox Manage (2)
EMMTECH-4482         Exception, dumpstate                               [00297449] Application Crashing
EMMTECH-4483         dumpstate                                          [iOS][00298068] Problème Knox suite au renouvellement des licences
EMMTECH-4487         dumpstate                                          [00298759]  Case Devices are losing their APN as of today, bricking devices that are installed remotely.
EMMTECH-4489         patch                                              [00298089] Devices do not renew certificate for EAP-TLS Wifi-Connection
EMMTECH-4491         import                                             [Customer] [00298414] Error Code: 10004 - LDAP error code 32
EMMTECH-4499         dumpstate                                          [00299084] License problem that prevents several management actions such as application installation because they are visible as expired licenses even though they are valid.
EMMTECH-4526         function                                           [Customer][00299450] Disable Call Blocking option for android
EMMTECH-4528         dumpstate                                          [Customer][00299542] Location Data Mismatch - KM API
EMMTECH-4534         function                                           [Customer][00298059] app not updating from 2.6 to 2.9
EMMTECH-4549         import                                             [ETS][customer][00299774]Changing sync services - Questions
EMMTECH-4561         function, patch                                    [00299853,00299986,00300764] Devices Randomly Enter 'Compromised' State
EMMTECH-4575         patch                                              [00300361] Critical Patch Update Oracle
EMMTECH-4576         Exception                                          [Customer][00300369] LDAP SYNC HAS FAILED - Error 10004
EMMTECH-4600         Exception, NullPointerException                    [00300611] Native Dialer in kiosk don't work
EMMTECH-4607         function                                           [iOS][00301057] Application configuration
EMMTECH-4617         patch                                              [Customer][ETS][00299103]Kiosk Print screen Forwarding not possible with OS Version 14
